,Mean Coeff,σ Coeff
rh_G_and_S_transv_frontopol,-0.31473892746274507,0.33767967834294604
lh_G_parietal_sup,-0.3002496592703837,0.288610019521154
rh_G_cuneus,0.23943502808430492,0.3102930663100359
lh_G_temp_sup-G_T_transv,0.21285267997206678,0.3832282502244249
lh_G_front_middle,-0.15226748691541003,0.12086181391937566
lh_S_cingul-Marginalis,-0.12444104664647822,0.10988316606728017
rh_G_front_middle,-0.12114612015777224,0.094692170291543
lh_S_circular_insula_ant,0.10451436543753259,0.08089540212024203
lh_G_occipital_sup,-0.10422285068928284,0.11784825497799198
rh_G_rectus,0.09698058771512316,0.08048397461916967
rh_G_insular_short,0.0949954667767489,0.14097482333133593
rh_S_parieto_occipital,0.09447302000196572,0.09163476466419097
rh_S_central,0.09048129738563584,0.10785855297231084
rh_S_calcarine,0.08996831767750771,0.10118333331865562
rh_S_front_middle,-0.08726797035680658,0.06265928333921106
lh_G_oc-temp_med-Lingual,0.08283715155987818,0.05396416635040597
rh_G_front_inf-Opercular,-0.08170630703702629,0.09141960263729572
rh_G_and_S_cingul-Mid-Post,0.08026390295803844,0.08652839435524783
lh_G_front_sup,-0.07730635818300241,0.05733982758363177
rh_G_front_inf-Triangul,-0.07333409084879697,0.06636822675926436
rh_S_collat_transv_ant,-0.07291819402049311,0.10330521088914466
lh_G_and_S_cingul-Ant,-0.0723564033478053,0.04359789501050612
rh_Lat_Fis-ant-Vertical,-0.07049159905764238,0.09407804124774541
rh_G_pariet_inf-Supramar,-0.07046733758741218,0.07630075523199426
rh_G_and_S_cingul-Ant,-0.07006917408831559,0.09647859478228692
lh_G_and_S_transv_frontopol,-0.06978866558360003,0.08358112922210931
lh_S_central,0.06915051755537142,0.07001009560076811
rh_G_temp_sup-Lateral,-0.06683512353715271,0.07513590976568059
rh_S_circular_insula_ant,0.06679971878858418,0.0841437203911705
lh_G_subcallosal,-0.06668149229198103,0.10405162748287525
rh_Lat_Fis-post,0.06380943911069417,0.06257879053923865
lh_G_pariet_inf-Angular,-0.05976596325180335,0.06426591421363725
lh_S_interm_prim-Jensen,-0.05386450380502496,0.07160424469409793
lh_G_and_S_cingul-Mid-Ant,-0.05282080171811199,0.0718928245651382
lh_Pole_occipital,0.050445779033984325,0.04785675746769323
lh_S_oc-temp_med_and_Lingual,0.05037698991359768,0.056815526744315635
lh_G_and_S_cingul-Mid-Post,-0.04925949405118962,0.0677412503147685
lh_G_precuneus,-0.04762208108006005,0.055302761515119966
rh_G_cingul-Post-dorsal,0.047521110696764894,0.06439512981966072
rh_G_front_sup,-0.0474641689798597,0.041351257557216164
lh_S_front_sup,-0.046963684207667056,0.044981353257041286
rh_S_front_sup,-0.0468512984747839,0.04300766877025615
rh_S_front_inf,-0.045070469164155975,0.05001622839281913
rh_S_suborbital,-0.04500052612001708,0.07126678030464106
rh_S_circular_insula_inf,0.044127310368344067,0.05726992260202241
lh_G_temp_sup-Plan_polar,0.04202359666325755,0.048340785498535245
rh_G_and_S_cingul-Mid-Ant,-0.04015660311169431,0.049165100515196916
lh_Lat_Fis-ant-Vertical,-0.03944018158775346,0.07198349366548704
lh_G_and_S_paracentral,0.03863102382522796,0.055218761223797735
lh_S_parieto_occipital,0.03843262013918887,0.05183961983839927
rh_G_subcallosal,-0.0383164551984419,0.06725482968765928
rh_S_occipital_ant,0.03824075236357188,0.06255376936310614
lh_Lat_Fis-ant-Horizont,-0.03738455939574421,0.06660053047821257
lh_G_Ins_lg_and_S_cent_ins,-0.035729223422914874,0.04740312791646089
lh_G_front_inf-Orbital,0.03505091537911568,0.06332092525246452
lh_G_and_S_occipital_inf,0.03493174293379194,0.03557519438000626
rh_S_cingul-Marginalis,-0.03397394354873885,0.03652123421681564
rh_G_precuneus,-0.032986341478349085,0.042225233419457726
lh_S_circular_insula_sup,0.03254937011007737,0.04183082331192715
rh_S_temporal_transverse,0.03246028199171566,0.06514668427982984
rh_S_orbital_lateral,-0.03212906299553475,0.043471048504924364
rh_G_cingul-Post-ventral,0.03149744339214667,0.05622273174882982
lh_S_front_middle,-0.031091909325059487,0.0388460021042456
lh_Lat_Fis-post,0.03097262788641165,0.02747443727428766
rh_S_interm_prim-Jensen,-0.030958527305443212,0.04536504825012941
lh_G_oc-temp_med-Parahip,0.03049639655719924,0.05283883638873123
lh_S_subparietal,-0.030455636074712286,0.04074537062320699
rh_G_temporal_middle,-0.02708951448117239,0.031083947824149333
lh_S_temporal_sup,0.02698378324822294,0.039247661648415165
rh_Pole_occipital,0.026929358031528537,0.04297532301059476
lh_S_intrapariet_and_P_trans,-0.02665295188196535,0.04289915415834107
rh_G_and_S_paracentral,0.02648447845564015,0.032906077005455364
lh_S_temporal_inf,-0.026295679391677935,0.05282586710800516
rh_S_subparietal,0.026086816073387586,0.03800502913560128
rh_S_oc-temp_med_and_Lingual,0.025753935194314088,0.021771328593657824
rh_S_pericallosal,0.02523015878052999,0.04617609690640562
lh_S_temporal_transverse,-0.02498236327283431,0.05329424382597356
lh_S_precentral-sup-part,-0.02426953952657855,0.02723200943584759
rh_Pole_temporal,0.023839954572545924,0.041164783611307244
rh_S_postcentral,-0.023768348132054903,0.02769305287763316
lh_G_insular_short,0.02351510205693104,0.02564279390667024
rh_S_collat_transv_post,-0.023498682310507783,0.07776414850314647
lh_S_front_inf,-0.02315291703395315,0.027081277649131805
lh_G_cingul-Post-dorsal,0.022507997060992987,0.0645777708207559
lh_S_orbital_med-olfact,-0.021934922177653235,0.03312497121536246
lh_G_front_inf-Triangul,-0.02191215266749444,0.029874075671186478
